"kind","etag","id","snippet.title","snippet.description","snippet.publishedAt","snippet.thumbnails.default.url","snippet.thumbnails.default.width","snippet.thumbnails.default.height","snippet.thumbnails.medium.url","snippet.thumbnails.medium.width","snippet.thumbnails.medium.height","snippet.thumbnails.high.url","snippet.thumbnails.high.width","snippet.thumbnails.high.height","snippet.localized.title","snippet.localized.description","snippet.country","statistics.viewCount","statistics.commentCount","statistics.subscriberCount","statistics.hiddenSubscriberCount","statistics.videoCount","snippet.customUrl"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/Z-RA_THFY1A3C8pz3J-CjIqsCds""","UCmHm0w-JJfC2Ll1Of_WObAQ","Cooper Academy - Investing","I make video's on Investing, Personal Finance and Entrepreneurship. 

3: Entrepreneurship = To make extra money to invest.
2: Personal Finance = To handle your money well so that you can invest it.
1: Investing = To get your money working for you.","2017-07-26T22:41:58.000Z","https://yt3.ggpht.com/a/AATXAJwBNemyUiPu3eJtyxOMNR_d_0e-5ujjhEQFlQ=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJwBNemyUiPu3eJtyxOMNR_d_0e-5ujjhEQFlQ=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJwBNemyUiPu3eJtyxOMNR_d_0e-5ujjhEQFlQ=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Cooper Academy - Investing","I make video's on Investing, Personal Finance and Entrepreneurship. 

3: Entrepreneurship = To make extra money to invest.
2: Personal Finance = To handle your money well so that you can invest it.
1: Investing = To get your money working for you.","NZ","9480498","0","121000",FALSE,"230",NA
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/mcMcXw9pCmXzNOWe6CoIct7wP5w""","UCJTLhIlihuI5G23OehrZaOA","Fantastic Nifty","At Fantastic Nifty get everything fantastic about the Indian Stock Market. Get all mid cap, small cap & large cap stocks. Analysis of revenue, net profit, pe ratio, peg ratio, debt equity ratio and cheap valuation. Long term Multibagger share in India and long term investment advice for beginners, Share Market Tips, Latest Share Market Videos, Share Market News In Hindi, Share Recommendations, Stock Market News, Latest Stock Market Recommendations, best Stock Picks, Stock Market Analysis, Latest Stock Market Videos, zero debt companies in India, techincal chart analysis support resistance trendline, moving average analysis, shareholding, pledged shares, what is pledging, best FII holding stock, mutual funds, best mutual fund for SIP, penny stocks, micro cap stocks, demat account & much more. #fantasticnifty","2018-04-21T08:32:57.000Z","https://yt3.ggpht.com/a/AATXAJw_Y-1Tt2qDyPtKCWToBgPCptQKarnSYyVRBA=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJw_Y-1Tt2qDyPtKCWToBgPCptQKarnSYyVRBA=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJw_Y-1Tt2qDyPtKCWToBgPCptQKarnSYyVRBA=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Fantastic Nifty","At Fantastic Nifty get everything fantastic about the Indian Stock Market. Get all mid cap, small cap & large cap stocks. Analysis of revenue, net profit, pe ratio, peg ratio, debt equity ratio and cheap valuation. Long term Multibagger share in India and long term investment advice for beginners, Share Market Tips, Latest Share Market Videos, Share Market News In Hindi, Share Recommendations, Stock Market News, Latest Stock Market Recommendations, best Stock Picks, Stock Market Analysis, Latest Stock Market Videos, zero debt companies in India, techincal chart analysis support resistance trendline, moving average analysis, shareholding, pledged shares, what is pledging, best FII holding stock, mutual funds, best mutual fund for SIP, penny stocks, micro cap stocks, demat account & much more. #fantasticnifty","IN","7640119","0","111000",FALSE,"725","fantasticnifty"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/C-T5e7ac-DOYB-Al327uOdgRi_o""","UCmnEsLQNA0P-t541TmQAdFA","Wealth First","Dear Viewers, Thanks for visiting.
We are a team of Management Post Graduates, stock market Analyst and researcher. 
You must subscribe our channel for wealth creating ideas, best stocks, top shares, top stocks, multibagger shares, and stock queries, quarter results, nifty, sensex, best research analysis.
We have lot to share with you. Have been in stock market for more than 15 years.

We are here to share my experience and make people wise on investment decisions on stocks. Do drop your comments on any stock specific query. Please don't mind if we couldn't respond to all individual queries. Though will try our level best.

Our details are as below:
Wealth First

wealthfirstofficial@gmail.com

Thanks and Regards.

#wealthfirst #wealth wealthfirst, wealth first

Disclaimer:- All efforts have been made to compile inputs after detailed research. Please do your own research before investing!","2011-04-16T08:56:59.000Z","https://yt3.ggpht.com/a/AATXAJzteiNfS_sjulehb71xs7KC-vvgk96yu-vq_A=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJzteiNfS_sjulehb71xs7KC-vvgk96yu-vq_A=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJzteiNfS_sjulehb71xs7KC-vvgk96yu-vq_A=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Wealth First","Dear Viewers, Thanks for visiting.
We are a team of Management Post Graduates, stock market Analyst and researcher. 
You must subscribe our channel for wealth creating ideas, best stocks, top shares, top stocks, multibagger shares, and stock queries, quarter results, nifty, sensex, best research analysis.
We have lot to share with you. Have been in stock market for more than 15 years.

We are here to share my experience and make people wise on investment decisions on stocks. Do drop your comments on any stock specific query. Please don't mind if we couldn't respond to all individual queries. Though will try our level best.

Our details are as below:
Wealth First

wealthfirstofficial@gmail.com

Thanks and Regards.

#wealthfirst #wealth wealthfirst, wealth first

Disclaimer:- All efforts have been made to compile inputs after detailed research. Please do your own research before investing!","IN","17908736","0","262000",FALSE,"650","wealthfirstsaga"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/dRI2sV6NnD4El4Bgj8lxPVIFhqw""","UCRE9Fp_3g_ekRTLtJM4yBFA","Investaru Official","We at Investaru help you in your journey of Indian Stock Market by educate you, inform you and share all money making Ideas in Stock Market.

We upload videos on

1. Stock Analysis
2. Latest Corporate Action in a Stock such as Dividend, Buyback, Bonus etc.
3. Latest news in stock market

Investaru says Invest in present for better tomorrow

Visit our website
http://www.investaru.com

Founders : MBA mates

Disclaimer: Videos uploaded on this channel are for education purpose only. We do not give any buy or sell recommendation. Please do your own research or consult expert financial advisor before making any investment in Stock Market","2018-06-28T09:27:08.000Z","https://yt3.ggpht.com/a/AATXAJyGjA6Vo5eAtcP6Vg6oHzl-ZcQgtZUMMPapgQ=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJyGjA6Vo5eAtcP6Vg6oHzl-ZcQgtZUMMPapgQ=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJyGjA6Vo5eAtcP6Vg6oHzl-ZcQgtZUMMPapgQ=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Investaru Official","We at Investaru help you in your journey of Indian Stock Market by educate you, inform you and share all money making Ideas in Stock Market.

We upload videos on

1. Stock Analysis
2. Latest Corporate Action in a Stock such as Dividend, Buyback, Bonus etc.
3. Latest news in stock market

Investaru says Invest in present for better tomorrow

Visit our website
http://www.investaru.com

Founders : MBA mates

Disclaimer: Videos uploaded on this channel are for education purpose only. We do not give any buy or sell recommendation. Please do your own research or consult expert financial advisor before making any investment in Stock Market","IN","6551372","0","126000",FALSE,"263","investaruofficial"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/KTltincXEB8-IdkrGAeV-Su8Dqs""","UCY8GP65TrSowT3CvE-shEoQ","2ndSkies Trading","I'm Chris Capre, former broker on Wall Street and hedge fund trader. 

On this channel I cover my trading strategies such as Price Action & Ichimoku, plus how to build a profitable trading mindset & how you can use these techniques to make money trading. 

- New to forex trading? Check out my free beginners course here: https://www.udemy.com/course/learn-forex-trading-become-a-professional-forex-trader/

- Also be sure to sign up for my free ebook ""Trading With Price Action Context"" here: https://2ndskiesforex.com/price-action-ebook/

- Once you've done that, get a free practice forex trading account here: https://2ndskiesforex.com/xtb/ (certain countries apply)

- You can check out my trading strategies and free content here: https://2ndskiesforex.com/trading-strategies/

- And when you are ready, take a look at my online courses here: https://2ndskiesforex.com/courses/","2008-03-03T15:37:00.000Z","https://yt3.ggpht.com/a/AATXAJxonepGGMgRgy5sA_zLSB7kobH6gF_SrprbwQ=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJxonepGGMgRgy5sA_zLSB7kobH6gF_SrprbwQ=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJxonepGGMgRgy5sA_zLSB7kobH6gF_SrprbwQ=s800-c-k-c0xffffffff-no-rj-mo",800,800,"2ndSkies Trading","I'm Chris Capre, former broker on Wall Street and hedge fund trader. 

On this channel I cover my trading strategies such as Price Action & Ichimoku, plus how to build a profitable trading mindset & how you can use these techniques to make money trading. 

- New to forex trading? Check out my free beginners course here: https://www.udemy.com/course/learn-forex-trading-become-a-professional-forex-trader/

- Also be sure to sign up for my free ebook ""Trading With Price Action Context"" here: https://2ndskiesforex.com/price-action-ebook/

- Once you've done that, get a free practice forex trading account here: https://2ndskiesforex.com/xtb/ (certain countries apply)

- You can check out my trading strategies and free content here: https://2ndskiesforex.com/trading-strategies/

- And when you are ready, take a look at my online courses here: https://2ndskiesforex.com/courses/","US","2127817","0","15100",FALSE,"162","2ndskiesforexandstocktrading"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/7e6FfYqlPhdHjJJeohnZIBNGlXM""","UCku9ceO56NVq-GFoliSlY_g","The Wolf of Dalal Street","Hello, folks, The Wolf of Dalal Street is here to educate you all about the stock market, I do train and educate people with my analysis and educational videos about stock market.","2019-11-11T21:57:32.000Z","https://yt3.ggpht.com/a/AATXAJzrmX7pCs6SlmUXqaaSMhWOomH9nfqeNQP8UA=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJzrmX7pCs6SlmUXqaaSMhWOomH9nfqeNQP8UA=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJzrmX7pCs6SlmUXqaaSMhWOomH9nfqeNQP8UA=s800-c-k-c0xffffffff-no-rj-mo",800,800,"The Wolf of Dalal Street","Hello, folks, The Wolf of Dalal Street is here to educate you all about the stock market, I do train and educate people with my analysis and educational videos about stock market.","IN","264414","0","4170",FALSE,"180",NA
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/639bVzYoepS_yzh1vHDC8dX1oq0""","UCv8vYfhw7Xj0Zmh6Xm42Mow","ProCapital.MohdFaiz","The objective of this channel is to help you all create wealth so that we could all live a prosperous life . This is a channel where our goal is to provide you edge in this information age where it is imperative to keep yourself updated. 

Financial Markets are all ever dynamic , situations are changing all the time. Making profit is all about grabbing the opportunity where and when it exists and survival is all about exiting the markets at the right time too. That is what we aim to do. We will provide you quality information to help you take informed decisions.","2017-11-15T14:15:59.000Z","https://yt3.ggpht.com/a/AATXAJxq1hVpEkXuqJIn_PPPFAv41heD23vNptIVlA=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJxq1hVpEkXuqJIn_PPPFAv41heD23vNptIVlA=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJxq1hVpEkXuqJIn_PPPFAv41heD23vNptIVlA=s800-c-k-c0xffffffff-no-rj-mo",800,800,"ProCapital.MohdFaiz","The objective of this channel is to help you all create wealth so that we could all live a prosperous life . This is a channel where our goal is to provide you edge in this information age where it is imperative to keep yourself updated. 

Financial Markets are all ever dynamic , situations are changing all the time. Making profit is all about grabbing the opportunity where and when it exists and survival is all about exiting the markets at the right time too. That is what we aim to do. We will provide you quality information to help you take informed decisions.","IN","223257050","0","0",TRUE,"8281","procapitalmohdfaiz"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/6976POPx1YSHsBv6YBg4zuxnBeI""","UChLnhKjHRlCl4DSncwJ1D_A","Zacks Investment Research","Zacks Investment Research provides timely news, commentary and stocks picks to help Investors navigate through today's stock market.

http://www.zacks.com/","2008-08-25T18:27:47.000Z","https://yt3.ggpht.com/a/AATXAJxADexA0K-2v7-sOowbqabNeY-cfFY6PLfHmg=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJxADexA0K-2v7-sOowbqabNeY-cfFY6PLfHmg=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJxADexA0K-2v7-sOowbqabNeY-cfFY6PLfHmg=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Zacks Investment Research","Zacks Investment Research provides timely news, commentary and stocks picks to help Investors navigate through today's stock market.

http://www.zacks.com/",NA,"2235252","0","25400",FALSE,"3556","zacksinvestmentnews"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/wYxGq1D5my1CBDdzL-dKcbMKAL0""","UCA8P3Rgfjn0IFZL4bmrKbrg","Phil Town's Rule #1 Investing","Official YouTube channel of Phil Town and Rule #1 Investing. Phil Town is an Investment Advisor, Hedge Fund Manager, 3x New York Times Best-Selling Author of Rule #1, Payback Time, and Invested, and Ex-Grand Canyon River Rafting Guide. Rule #1 Investing is Warren Buffett style investing, teaching you how to buy businesses on sale, with little risk. In fact, Rule #1 investing is practically immune to the ups and downs of the stock market.

The Rule was first set by Columbia University’s Benjamin Graham and then, more famously, adhered to by Graham’s student and the world’s most successful professional investor—Warren Buffett. According to Buffett, “There are only two rules of investing: Rule #1: Don’t lose money . . . and Rule #2: Don’t forget Rule #1.”","2014-06-26T22:11:19.000Z","https://yt3.ggpht.com/a/AATXAJy5t5JoYo8CQBAsSmOJSU7ce1K5uxZHSZ0oJw=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJy5t5JoYo8CQBAsSmOJSU7ce1K5uxZHSZ0oJw=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJy5t5JoYo8CQBAsSmOJSU7ce1K5uxZHSZ0oJw=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Phil Town's Rule #1 Investing","Official YouTube channel of Phil Town and Rule #1 Investing. Phil Town is an Investment Advisor, Hedge Fund Manager, 3x New York Times Best-Selling Author of Rule #1, Payback Time, and Invested, and Ex-Grand Canyon River Rafting Guide. Rule #1 Investing is Warren Buffett style investing, teaching you how to buy businesses on sale, with little risk. In fact, Rule #1 investing is practically immune to the ups and downs of the stock market.

The Rule was first set by Columbia University’s Benjamin Graham and then, more famously, adhered to by Graham’s student and the world’s most successful professional investor—Warren Buffett. According to Buffett, “There are only two rules of investing: Rule #1: Don’t lose money . . . and Rule #2: Don’t forget Rule #1.”","US","18730444","0","326000",FALSE,"286","philtownrule1investing"
"youtube#channel","""Dn5xIderbhAnUk5TAW0qkFFir0M/Odo6eYUkmjENm4xPto2fGmZFrRE""","UCd3Q7fqOGb9umTMfCwDCFTw","Lumovest","Lumovest is an online school that teaches finance, accounting, and investing. We teach you how to analyze businesses and securities like how it's done at the world's top investment banks and private equity firms. 

Our mission is to democratize financial education. Learning these subjects can be very costly and many existing resources fail to explain the concepts in an understandable manner. We want to make financial education more accessible to people around the world by making it more affordable and creating high quality content so easy that even teenagers can understand.

Our online curriculum will walk you through the entire analytical process. You'll learn important skills, such as how to find company filings, how to read financial statements, how to evaluate a company's earnings capability, and how to build financial models. Our online learning platform offers over 300 lessons with interactive exercise sheets and online quizzes.","2017-03-03T18:55:18.000Z","https://yt3.ggpht.com/a/AATXAJxXQazON_ettt81P07oQp06_KZvIkL78OO9kw=s88-c-k-c0xffffffff-no-rj-mo",88,88,"https://yt3.ggpht.com/a/AATXAJxXQazON_ettt81P07oQp06_KZvIkL78OO9kw=s240-c-k-c0xffffffff-no-rj-mo",240,240,"https://yt3.ggpht.com/a/AATXAJxXQazON_ettt81P07oQp06_KZvIkL78OO9kw=s800-c-k-c0xffffffff-no-rj-mo",800,800,"Lumovest","Lumovest is an online school that teaches finance, accounting, and investing. We teach you how to analyze businesses and securities like how it's done at the world's top investment banks and private equity firms. 

Our mission is to democratize financial education. Learning these subjects can be very costly and many existing resources fail to explain the concepts in an understandable manner. We want to make financial education more accessible to people around the world by making it more affordable and creating high quality content so easy that even teenagers can understand.

Our online curriculum will walk you through the entire analytical process. You'll learn important skills, such as how to find company filings, how to read financial statements, how to evaluate a company's earnings capability, and how to build financial models. Our online learning platform offers over 300 lessons with interactive exercise sheets and online quizzes.","US","631666","0","26600",FALSE,"50","lumovest"
